target,horizon,feature,abs_corr,mutual_info,lasso_selection_frequency,rank_score
CPIAUCSL,1,AAAFFM,0.43133628062098783,0.29881522029176644,0.9230769230769231,0.9836065573770493
CPIAUCSL,1,TB3SMFFM,0.43355036647651546,0.15437796994583097,0.8974358974358975,0.9603825136612022
CPIAUCSL,1,COMPAPFFx,0.3710460358161876,0.13230247900568592,1.0,0.9426229508196721
CPIAUCSL,1,BUSINVx,0.36330279846267094,0.14763296346933918,0.8717948717948718,0.9289617486338798
CPIAUCSL,1,CES0600000007,0.2849506682554264,0.10732514180751274,1.0,0.9043715846994536
CPIAUCSL,1,M2REAL,0.33875641463181183,0.09887210905370791,1.0,0.9043715846994536
CPIAUCSL,1,AWHMAN,0.29376152717093224,0.19696904579556973,0.6923076923076923,0.8756830601092895
CPIAUCSL,1,T5YFFM,0.37001231594352413,0.14320030922772986,0.6666666666666666,0.8551912568306012
CPIAUCSL,1,HOUSTW,0.170966698656364,0.1396819709487982,0.8205128205128205,0.8442622950819673
CPIAUCSL,1,HOUSTMW,0.19448488745666054,0.11002802036372916,0.8205128205128205,0.8387978142076502
CPIAUCSL,1,CUSR0000SA0L5,0.21431871909068825,0.18152329154722402,0.5641025641025641,0.8292349726775957
CPIAUCSL,1,OILPRICEx,0.1637809356640225,0.1085425359060741,0.8717948717948718,0.8278688524590164
CPIAUCSL,1,CPITRNSL,0.24764264525609772,0.08055101901352257,0.7948717948717948,0.8210382513661202
CPIAUCSL,1,PERMITNE,0.12801767020003146,0.13472201492595381,0.8205128205128205,0.7978142076502731
CPIAUCSL,1,CPIAUCSL,0.20184106561288293,0.1846258933906002,0.48717948717948717,0.7909836065573771
CPIAUCSL,1,USWTRADE,0.21247962065891332,0.048916171593994306,0.9487179487179487,0.7882513661202185
CPIAUCSL,1,WPSID61,0.14696376044478265,0.08492988557982573,0.7692307692307693,0.7363387978142075
CPIAUCSL,1,CES1021000001,0.1541545884090532,0.05308024196454131,0.8717948717948718,0.7349726775956285
CPIAUCSL,1,PERMITMW,0.13636810826690807,0.20708005331781854,0.4358974358974359,0.7349726775956285
CPIAUCSL,1,BAA,0.1435538266813925,0.09726820768320232,0.7435897435897436,0.73224043715847
CPIAUCSL,1,ISRATIOx,0.11128240877154125,0.06863717037430517,0.8974358974358975,0.7254098360655737
CPIAUCSL,1,T10YFFM,0.39078630450454743,0.14626649117777513,0.07692307692307693,0.7185792349726775
CPIAUCSL,1,USFIRE,0.2051839141079187,0.04163420071787316,0.7692307692307693,0.7144808743169399
CPIAUCSL,1,GS5,0.21637834852661408,0.055900789337888224,0.5128205128205128,0.6967213114754097
CPIAUCSL,1,FEDFUNDS,0.15983735900735965,0.07275756895399432,0.5641025641025641,0.6926229508196721
CPIAUCSL,1,CONSPI,0.05084385696609143,0.08310514075295439,0.9487179487179487,0.6816939890710382
CPIAUCSL,1,CUSR0000SA0L2,0.20880194738270194,0.16757808452620626,0.05128205128205128,0.6762295081967213
CPIAUCSL,1,BAAFFM,0.3987217901959598,0.21473023038583694,0.0,0.6734972677595629
CPIAUCSL,1,AMDMUOx,0.2079624263068174,0.009469163722221285,0.8205128205128205,0.6693989071038251
CPIAUCSL,1,PERMITW,0.1643804818117186,0.10721397664224686,0.23076923076923078,0.6612021857923497
CPIAUCSL,1,T1YFFM,0.3141096288593338,0.07568027783854037,0.1282051282051282,0.6543715846994536
CPIAUCSL,1,TB6SMFFM,0.4196282965466136,0.12237699109649158,0.0,0.6325136612021858
CPIAUCSL,1,CPIULFSL,0.21882411166626026,0.1618533666169144,0.0,0.6270491803278688
CPIAUCSL,1,GS10,0.21476393488407122,0.069034372467903,0.1282051282051282,0.6243169398907104
CPIAUCSL,1,CUSR0000SAD,0.08700158515157412,0.05311945363252368,0.7692307692307693,0.6243169398907104
CPIAUCSL,1,CPIAPPSL,0.06536176104962145,0.07760862796858792,0.6923076923076923,0.621584699453552
CPIAUCSL,1,EXCAUSx,0.1366131124731071,0.032599347983673255,0.717948717948718,0.6202185792349727
CPIAUCSL,1,HOUSTNE,0.1471046398153227,0.0516617688629295,0.5128205128205128,0.6147540983606558
CPIAUCSL,1,VIXCLSx,0.08542807853950367,0.11451347907452503,0.28205128205128205,0.5942622950819673
CPIAUCSL,1,CUSR0000SAC,0.22250706599254955,0.032593313618794806,0.20512820512820512,0.5860655737704917
CPIAUCSL,1,WPSFD49207,0.15204921773099578,0.07353331322442713,0.1282051282051282,0.575136612021858
CPIAUCSL,1,CES3000000008,0.011896089082748019,0.08726310987789088,0.7692307692307693,0.5423497267759563
CPIAUCSL,1,PAYEMS,0.09496941565454192,0.060487736014959825,0.3076923076923077,0.5382513661202185
CPIAUCSL,1,WPSFD49502,0.1524342163554288,0.049309739839356936,0.1282051282051282,0.5314207650273224
CPIAUCSL,1,CP3Mx,0.12558919990720424,0.0990058237977891,0.02564102564102564,0.528688524590164
CPIAUCSL,1,HOUST,0.17693038461457444,0.08527916910334676,0.0,0.5286885245901639
CPIAUCSL,1,UEMP5TO14,0.017582884831397992,0.0540919497129293,0.8205128205128205,0.5245901639344263
CPIAUCSL,1,IPBUSEQ,0.10225688107367482,0.045828352901539304,0.3333333333333333,0.5204918032786886
CPIAUCSL,1,SRVPRD,0.10540217903843392,0.10923365776780036,0.02564102564102564,0.5177595628415301
CPIAUCSL,1,GS1,0.1639893138050561,0.06215853548773387,0.02564102564102564,0.5177595628415301
CPIAUCSL,1,CES2000000008,0.06076461714178333,0.013269209369441093,0.7948717948717948,0.51775956284153
CPIAUCSL,1,CPIMEDSL,0.018306841735512676,0.130373574238972,0.38461538461538464,0.5122950819672131
CPIAUCSL,1,USTPU,0.12306031042796825,0.0850875283007948,0.02564102564102564,0.5095628415300547
CPIAUCSL,1,NDMANEMP,0.07804182881794082,0.03035415900585159,0.5384615384615384,0.5081967213114754
CPIAUCSL,1,TB6MS,0.1564371134630861,0.04072700919877503,0.10256410256410256,0.5081967213114754
CPIAUCSL,1,UEMPLT5,0.046071793172907105,0.042440556404314655,0.5641025641025641,0.5068306010928962
CPIAUCSL,1,PERMITS,0.013395766719339494,0.15086945808983154,0.358974358974359,0.505464480874317
CPIAUCSL,1,TB3MS,0.14814966853466163,0.06431017941345907,0.02564102564102564,0.5013661202185792
CPIAUCSL,1,EXJPUSx,0.06311332018510055,0.010826859387648824,0.7435897435897436,0.49453551912568305
CPIAUCSL,1,USGOVT,0.019791609197502023,0.02864999081413888,0.8205128205128205,0.4781420765027322
CPIAUCSL,1,DNDGRG3M086SBEA,0.20936445699250605,0.025525903557386265,0.02564102564102564,0.47131147540983614
CPIAUCSL,1,RETAILx,0.17464168267455937,0.008783557932794395,0.1282051282051282,0.4685792349726776
CPIAUCSL,1,PERMIT,0.10840729168819208,0.09782015826500912,0.0,0.4658469945355192
CPIAUCSL,1,EXSZUSx,0.05801372461805057,0.0,0.8461538461538461,0.46174863387978143
CPIAUCSL,1,DDURRG3M086SBEA,0.044856156250246686,0.01910104408570934,0.5641025641025641,0.4549180327868852
CPIAUCSL,1,IPNMAT,0.006240445294282633,0.03599510644212156,0.8205128205128205,0.453551912568306
CPIAUCSL,1,IPB51222S,0.05059764504286882,0.006436858652101307,0.6923076923076923,0.4521857923497268
CPIAUCSL,1,W875RX1,0.06441705726405612,0.035634365137819035,0.28205128205128205,0.44672131147540983
CPIAUCSL,1,HOUSTS,0.12129595375114774,0.06954576653370337,0.0,0.44125683060109294
CPIAUCSL,1,DMANEMP,0.07041681862318111,0.08036936139664874,0.02564102564102564,0.43852459016393447
CPIAUCSL,1,USTRADE,0.10037911107282203,0.05936537061329883,0.02564102564102564,0.4330601092896176
CPIAUCSL,1,AAA,0.1837548941241158,0.030630823273514185,0.0,0.4275956284153006
CPIAUCSL,1,USCONS,0.029105011390925934,0.0053427523436950786,0.7692307692307693,0.4193989071038251
CPIAUCSL,1,S&P 500,0.064160496382042,0.01483206396377268,0.3333333333333333,0.4193989071038251
CPIAUCSL,1,MANEMP,0.07682245877895554,0.05968090428640638,0.02564102564102564,0.4112021857923498
CPIAUCSL,1,TOTRESNS,0.10437751147315812,0.0,0.41025641025641024,0.4112021857923498
CPIAUCSL,1,M2SL,0.11809728864051347,0.0,0.358974358974359,0.407103825136612
CPIAUCSL,1,DTCTHFNM,0.01187853595593378,0.03990085651020703,0.5641025641025641,0.4030054644808743
CPIAUCSL,1,BUSLOANS,0.1027725297888613,0.0,0.38461538461538464,0.40027322404371585
CPIAUCSL,1,BOGMBASE,0.14736894529980124,0.0,0.1794871794871795,0.3961748633879781
CPIAUCSL,1,WPSID62,0.09402449399888524,0.0,0.38461538461538464,0.389344262295082
CPIAUCSL,1,CLF16OV,0.12185923980300699,0.006254635747565462,0.07692307692307693,0.3879781420765027
CPIAUCSL,1,PPICMM,0.039846050135989124,0.0,0.7692307692307693,0.3866120218579235
CPIAUCSL,1,RPI,0.059524754274562434,0.0,0.5641025641025641,0.383879781420765
CPIAUCSL,1,CUSR0000SAS,0.03857087334301793,0.11068108378393804,0.0,0.3756830601092896
CPIAUCSL,1,HWI,0.02609383858925563,0.01233302178365081,0.5128205128205128,0.3715846994535519
CPIAUCSL,1,CLAIMSx,0.11333895536881253,0.0,0.20512820512820512,0.37021857923497264
CPIAUCSL,1,S&P div yield,0.013079374795146584,0.00985220512816154,0.6923076923076923,0.37021857923497264
CPIAUCSL,1,USGOOD,0.07496943994713756,0.026915525934215978,0.05128205128205128,0.3674863387978142
CPIAUCSL,1,NONREVSL,0.045006829775340394,0.0026834274798210878,0.358974358974359,0.3633879781420765
CPIAUCSL,1,EXUSUKx,0.07925700199081756,0.014100788547070309,0.07692307692307693,0.3633879781420765
CPIAUCSL,1,DTCOLNVHFNM,0.04374594245330481,0.0,0.5641025641025641,0.35928961748633875
CPIAUCSL,1,DPCERA3M086SBEA,0.08420264086162153,0.0,0.3076923076923077,0.3551912568306011
CPIAUCSL,1,AMDMNOx,0.05416106619411297,0.0,0.48717948717948717,0.3538251366120218
CPIAUCSL,1,INVEST,0.0377442583367245,0.018480740725557165,0.28205128205128205,0.34836065573770486
CPIAUCSL,1,CMRMTSPLx,0.03237057528937265,0.0,0.6410256410256411,0.33879781420765026
