feature,domain_selected,CPIAUCSL_h1_score,CPIAUCSL_h1_lasso_freq,CPIAUCSL_h3_score,CPIAUCSL_h3_lasso_freq,CPIAUCSL_h6_score,CPIAUCSL_h6_lasso_freq,CPIAUCSL_h12_score,CPIAUCSL_h12_lasso_freq,S&P 500_h1_score,S&P 500_h1_lasso_freq,S&P 500_h3_score,S&P 500_h3_lasso_freq,S&P 500_h6_score,S&P 500_h6_lasso_freq,S&P 500_h12_score,S&P 500_h12_lasso_freq,mean_rank_score,max_lasso_frequency,selected_recommendation,description
EXSZUSx,0,0.46174863387978143,0.8461538461538461,0.6297814207650273,0.46153846153846156,0.49863387978142076,0.5641025641025641,0.6721311475409836,0.41025641025641024,0.5245901639344263,0.0,0.2759562841530055,0.0,0.523224043715847,0.0,0.33743169398907097,0.02564102564102564,0.49043715846994534,0.8461538461538461,0,
EXCAUSx,0,0.6202185792349727,0.717948717948718,0.5191256830601093,0.1282051282051282,0.48360655737704916,0.2564102564102564,0.476775956284153,0.3076923076923077,0.7513661202185792,0.0,0.42622950819672134,0.0,0.46857923497267756,0.0,0.15163934426229508,0.0,0.4871926229508196,0.717948717948718,0,
USGOVT,0,0.4781420765027322,0.8205128205128205,0.5136612021857924,0.5897435897435898,0.44945355191256836,0.48717948717948717,0.4972677595628416,0.28205128205128205,0.459016393442623,0.0,0.4781420765027322,0.0,0.41256830601092903,0.0,0.5983606557377049,0.15384615384615385,0.48582650273224043,0.8205128205128205,0,
TOTRESNS,0,0.4112021857923498,0.41025641025641024,0.6297814207650273,0.38461538461538464,0.42213114754098363,0.358974358974359,0.18852459016393444,0.02564102564102564,0.8948087431693988,0.02564102564102564,0.42076502732240434,0.0,0.43989071038251365,0.0,0.4275956284153006,0.0,0.47933743169398907,0.41025641025641024,0,
CUSR0000SAS,0,0.3756830601092896,0.0,0.6475409836065573,0.3076923076923077,0.48360655737704916,0.10256410256410256,0.4877049180327868,0.15384615384615385,0.3551912568306011,0.0,0.4945355191256831,0.0,0.48224043715846987,0.0,0.44672131147540983,0.0,0.47165300546448086,0.3076923076923077,0,
CUSR0000SAD,0,0.6243169398907104,0.7692307692307693,0.4412568306010929,0.23076923076923078,0.657103825136612,0.5641025641025641,0.4480874316939891,0.28205128205128205,0.6311475409836066,0.0,0.5327868852459017,0.0,0.20218579234972678,0.0,0.1871584699453552,0.0,0.4655054644808744,0.7692307692307693,0,
EXJPUSx,0,0.49453551912568305,0.7435897435897436,0.6010928961748633,0.4358974358974359,0.569672131147541,0.48717948717948717,0.39071038251366125,0.358974358974359,0.5136612021857924,0.0,0.30601092896174864,0.0,0.49590163934426235,0.0,0.31830601092896177,0.0,0.4612363387978142,0.7435897435897436,0,
CPIAPPSL,0,0.621584699453552,0.6923076923076923,0.3469945355191257,0.07692307692307693,0.46038251366120225,0.41025641025641024,0.453551912568306,0.38461538461538464,0.5887978142076503,0.05128205128205128,0.5710382513661202,0.0,0.2978142076502732,0.0,0.2636612021857923,0.0,0.4504781420765028,0.6923076923076923,0,
EXUSUKx,0,0.3633879781420765,0.07692307692307693,0.43169398907103823,0.10256410256410256,0.3879781420765028,0.2564102564102564,0.5068306010928961,0.3076923076923077,0.3743169398907104,0.0,0.6366120218579234,0.0,0.40983606557377045,0.0,0.48360655737704916,0.1794871794871795,0.4492827868852459,0.3076923076923077,0,
AMDMNOx,0,0.3538251366120218,0.48717948717948717,0.5437158469945355,0.358974358974359,0.5806010928961749,0.48717948717948717,0.48224043715847004,0.38461538461538464,0.4672131147540984,0.0,0.2103825136612022,0.0,0.4521857923497268,0.0,0.4740437158469945,0.0,0.44552595628415304,0.48717948717948717,0,
IPNMAT,0,0.453551912568306,0.8205128205128205,0.5163934426229508,0.358974358974359,0.4344262295081967,0.4358974358974359,0.5273224043715846,0.4358974358974359,0.5846994535519126,0.0,0.3825136612021858,0.0,0.28415300546448086,0.0,0.3401639344262295,0.0,0.44040300546448086,0.8205128205128205,0,
UMCSENTx,0,0.31830601092896177,0.38461538461538464,0.5081967213114754,0.10256410256410256,0.6051912568306012,0.46153846153846156,0.5355191256830601,0.38461538461538464,0.5983606557377049,0.0,0.25136612021857924,0.0,0.24863387978142074,0.0,0.40027322404371585,0.0,0.43323087431693996,0.46153846153846156,0,
IPB51222S,0,0.4521857923497268,0.6923076923076923,0.4166666666666667,0.3333333333333333,0.3948087431693989,0.48717948717948717,0.43169398907103823,0.38461538461538464,0.6584699453551912,0.0,0.37978142076502736,0.0,0.5341530054644809,0.0,0.19535519125683062,0.0,0.43288934426229503,0.6923076923076923,0,
CPIMEDSL,0,0.5122950819672131,0.38461538461538464,0.3497267759562841,0.02564102564102564,0.42213114754098363,0.07692307692307693,0.5204918032786886,0.3333333333333333,0.4098360655737705,0.0,0.43989071038251365,0.0,0.47131147540983603,0.0,0.2745901639344262,0.0,0.4250341530054645,0.38461538461538464,0,
RETAILx,0,0.4685792349726776,0.1282051282051282,0.4754098360655738,0.10256410256410256,0.39071038251366125,0.05128205128205128,0.46038251366120214,0.15384615384615385,0.5300546448087432,0.0,0.21311475409836067,0.0,0.41120218579234974,0.0,0.4166666666666667,0.02564102564102564,0.4207650273224044,0.15384615384615385,0,
CPITRNSL,0,0.8210382513661202,0.7948717948717948,0.37841530054644806,0.05128205128205128,0.4576502732240438,0.1794871794871795,0.476775956284153,0.23076923076923078,0.43989071038251365,0.0,0.23497267759562843,0.0,0.22404371584699453,0.0,0.3237704918032787,0.0,0.41956967213114754,0.7948717948717948,0,
CUSR0000SAC,0,0.5860655737704917,0.20512820512820512,0.4890710382513661,0.07692307692307693,0.3005464480874317,0.05128205128205128,0.3046448087431694,0.10256410256410256,0.6639344262295083,0.1794871794871795,0.360655737704918,0.0,0.3155737704918033,0.0,0.33196721311475413,0.0,0.41905737704918034,0.20512820512820512,0,
WPSID61,0,0.7363387978142075,0.7692307692307693,0.453551912568306,0.0,0.42213114754098363,0.07692307692307693,0.43715846994535523,0.358974358974359,0.2950819672131148,0.0,0.35792349726775957,0.0,0.3784153005464481,0.0,0.2226775956284153,0.0,0.4129098360655738,0.7692307692307693,0,
M2SL,0,0.407103825136612,0.358974358974359,0.5546448087431693,0.3076923076923077,0.4426229508196721,0.5384615384615384,0.430327868852459,0.41025641025641024,0.43989071038251365,0.0,0.41256830601092903,0.0,0.3442622950819672,0.0,0.2663934426229508,0.0,0.41222677595628415,0.5384615384615384,0,
CMRMTSPLx,0,0.33879781420765026,0.6410256410256411,0.39071038251366125,0.2564102564102564,0.4412568306010929,0.46153846153846156,0.389344262295082,0.38461538461538464,0.4726775956284153,0.0,0.407103825136612,0.0,0.3510928961748634,0.0,0.4849726775956284,0.0,0.40949453551912574,0.6410256410256411,0,
RPI,0,0.383879781420765,0.5641025641025641,0.26229508196721313,0.358974358974359,0.3265027322404372,0.48717948717948717,0.28551912568306015,0.358974358974359,0.7527322404371585,0.05128205128205128,0.4836065573770492,0.0,0.3087431693989071,0.0,0.4521857923497268,0.02564102564102564,0.40693306010928965,0.5641025641025641,0,
