track,model,target,horizon,n_predictions,n_folds_used,avg_train_sequences,avg_test_sequences,mean_best_epoch,mean_val_loss,rmse,mae
B,gru,CPIAUCSL,1,300,5,120.0,60.0,5.0,1.5598002314567565,0.00417244937674687,0.0036263609984113526
B,rnn,CPIAUCSL,1,300,5,120.0,60.0,6.0,1.527927529811859,0.004353405317291159,0.0038017841471203913
B,rnn,INDPRO,1,300,5,120.0,60.0,5.0,0.7028356105089187,0.005202227622098626,0.004017291900866742
B,gru,INDPRO,1,300,5,120.0,60.0,5.0,0.6878180235624314,0.005289485477541211,0.004184189988736761
B,rnn,PAYEMS,1,300,5,120.0,60.0,5.6,1.112099216878414,0.001578988868428586,0.0010793311387533322
B,gru,PAYEMS,1,300,5,120.0,60.0,6.0,1.0725652411580087,0.0016722557915283738,0.0011337687049914771
B,rnn,S&P 500,1,300,5,120.0,60.0,6.0,0.862924313545227,0.037660321198874164,0.028052262204388778
B,gru,S&P 500,1,300,5,120.0,60.0,6.0,0.8643987774848938,0.038455095788982534,0.028737469437764958
