h,ARD(6),Naive / Random Walk,best_ml_mase
1,1.255697511383017,1.1850434696371066,2.224755421360381
3,2.4398224186983737,2.4239001579714263,2.9204041342352896
6,3.7736963603191382,4.019507996969753,3.9384884065046935
