target,h,model,n,rmspe,baseline_rmspe,relative_rmspe
INDPRO,3,Random Forest - DI,516,0.01864181570571493,0.020440724622067575,0.9119938774376637
INDPRO,3,XGBoost - DI,516,0.01874312516003869,0.020440724622067575,0.9169501329617162
INDPRO,3,Gradient Boost - DI,516,0.01913522094654265,0.020440724622067575,0.9361322213540553
INDPRO,3,AdaBoost - DI,516,0.019249816859925162,0.020440724622067575,0.9417384762937062
INDPRO,3,Baseline ARD/RW,516,0.020440724622067575,0.020440724622067575,1.0
INDPRO,6,Random Forest - DI,516,0.027772387893621606,0.028697423198295647,0.9677659106086925
INDPRO,6,XGBoost - DI,516,0.028062474709892322,0.028697423198295647,0.9778743727610696
INDPRO,6,Gradient Boost - DI,516,0.028521049109153818,0.028697423198295647,0.9938540095421423
INDPRO,6,Baseline ARD/RW,516,0.028697423198295647,0.028697423198295647,1.0
INDPRO,6,AdaBoost - DI,516,0.02894092532433471,0.028697423198295647,1.0084851564670632
INDPRO,12,Random Forest - DI,515,0.04166304412958322,0.04444324869119741,0.937443714321342
INDPRO,12,XGBoost - DI,515,0.04293340887239848,0.04444324869119741,0.9660276900707762
INDPRO,12,Gradient Boost - DI,515,0.04348371799244346,0.04444324869119741,0.9784099784104217
INDPRO,12,Baseline ARD/RW,515,0.04444324869119741,0.04444324869119741,1.0
INDPRO,12,AdaBoost - DI,515,0.04583085607251922,0.04444324869119741,1.031222006090582
PAYEMS,1,Gradient Boost - DI,516,0.006799536891276909,0.007783106133634344,0.8736276718485202
PAYEMS,1,XGBoost - DI,516,0.006804374167706739,0.007783106133634344,0.874249181609119
PAYEMS,1,AdaBoost - DI,516,0.006808919294553562,0.007783106133634344,0.87483315499568
PAYEMS,1,Random Forest - DI,516,0.006866245710322258,0.007783106133634344,0.8821986482556219
PAYEMS,1,Baseline ARD/RW,516,0.007783106133634344,0.007783106133634344,1.0
PAYEMS,3,XGBoost - DI,516,0.011357845270045217,0.015833323825808827,0.7173380267465739
PAYEMS,3,Gradient Boost - DI,516,0.011363197831971638,0.015833323825808827,0.7176760834922898
PAYEMS,3,AdaBoost - DI,516,0.011404532813842549,0.015833323825808827,0.720286715493862
PAYEMS,3,Random Forest - DI,516,0.011491165600700294,0.015833323825808827,0.7257582632125116
PAYEMS,3,Baseline ARD/RW,516,0.015833323825808827,0.015833323825808827,1.0
PAYEMS,6,XGBoost - DI,516,0.014921569230288879,0.024133831552540456,0.6182843034187895
PAYEMS,6,Gradient Boost - DI,516,0.0149875219338159,0.024133831552540456,0.6210170938330857
PAYEMS,6,AdaBoost - DI,516,0.015080243845443571,0.024133831552540456,0.6248590826787362
PAYEMS,6,Random Forest - DI,516,0.015095500888130874,0.024133831552540456,0.6254912675290402
PAYEMS,6,Baseline ARD/RW,516,0.024133831552540456,0.024133831552540456,1.0
PAYEMS,12,Random Forest - DI,515,0.021678486859420032,0.03740177313708081,0.5796112066656962
PAYEMS,12,XGBoost - DI,515,0.021859798702906424,0.03740177313708081,0.5844588870904148
PAYEMS,12,Gradient Boost - DI,515,0.0218692032809992,0.03740177313708081,0.584710334476567
PAYEMS,12,AdaBoost - DI,515,0.022742074332079195,0.03740177313708081,0.6080480261918995
PAYEMS,12,Baseline ARD/RW,515,0.03740177313708081,0.03740177313708081,1.0
S&P 500,1,Baseline ARD/RW,516,0.03705330487192194,0.03705330487192194,1.0
S&P 500,1,AdaBoost - DI,516,0.03716311266552806,0.03705330487192194,1.0029635087608428
S&P 500,1,Gradient Boost - DI,516,0.03729579291305704,0.03705330487192194,1.0065443026465057
S&P 500,1,Random Forest - DI,516,0.037653867772520166,0.03705330487192194,1.0162080792165267
S&P 500,1,XGBoost - DI,516,0.03765786384049499,0.03705330487192194,1.0163159256822776
S&P 500,3,Baseline ARD/RW,516,0.07500659500546883,0.07500659500546883,1.0
S&P 500,3,Random Forest - DI,516,0.07548516846666282,0.07500659500546883,1.0063804184306606
S&P 500,3,Gradient Boost - DI,516,0.07580184002684402,0.07500659500546883,1.010602334652269
S&P 500,3,AdaBoost - DI,516,0.07658125629809158,0.07500659500546883,1.02099363785955
S&P 500,3,XGBoost - DI,516,0.07688754658852022,0.07500659500546883,1.0250771493215263
S&P 500,6,AdaBoost - DI,516,0.11119721451722206,0.11476383061323371,0.968922124009336
S&P 500,6,Gradient Boost - DI,516,0.11290140388177974,0.11476383061323371,0.9837716576598898
S&P 500,6,Random Forest - DI,516,0.11294746177395952,0.11476383061323371,0.9841729852552975
S&P 500,6,XGBoost - DI,516,0.11325515335115478,0.11476383061323371,0.986854070189036
S&P 500,6,Baseline ARD/RW,516,0.11476383061323371,0.11476383061323371,1.0
S&P 500,12,AdaBoost - DI,515,0.16153342603134635,0.17869878561930766,0.9039424944692704
S&P 500,12,Gradient Boost - DI,515,0.16434463098640303,0.17869878561930766,0.9196740225001634
S&P 500,12,XGBoost - DI,515,0.16623181217745245,0.17869878561930766,0.9302347052966866
S&P 500,12,Random Forest - DI,515,0.16729725384562544,0.17869878561930766,0.936196926385546
S&P 500,12,Baseline ARD/RW,515,0.17869878561930766,0.17869878561930766,1.0
