track,model,target,horizon,n_predictions,n_folds_used,avg_train_sequences,avg_test_sequences,mean_best_epoch,mean_val_loss,rmse,mae,mase
B,rnn,CPIAUCSL,1,2340,39,24.0,60.0,15.179487179487179,2.4057812054569903,0.002872162044815642,0.0019903025634116253,1.1529095487899392
B,gru,CPIAUCSL,1,2340,39,24.0,60.0,14.35897435897436,2.496365294373857,0.003002379927978585,0.0021299172020880545,1.2052213275427315
B,gru,CPIAUCSL,3,2340,39,24.0,60.0,15.256410256410257,2.7842423648824197,0.007129563454657264,0.004825369905551596,2.1851474638974535
B,rnn,CPIAUCSL,3,2340,39,24.0,60.0,13.666666666666666,2.5967389539075203,0.0072927549742279815,0.005130857288877762,2.2987834180288194
B,gru,CPIAUCSL,6,2340,39,24.0,60.0,14.64102564102564,2.3469513219136457,0.011427537160975502,0.008094542259050675,3.5515647411469846
B,rnn,CPIAUCSL,6,2340,39,24.0,60.0,15.76923076923077,2.2431437957745333,0.011771007858932463,0.008166941283607773,3.571193902705804
B,rnn,CPIAUCSL,12,2339,39,24.0,59.97435897435897,13.76923076923077,2.7818331821606708,0.01862100252841427,0.013651609192484255,5.754534053899327
B,gru,CPIAUCSL,12,2339,39,24.0,59.97435897435897,18.41025641025641,2.8561408714606213,0.01864621932345529,0.013722160469065903,5.8218664340305635
B,rnn,INDPRO,1,2340,39,24.0,60.0,16.128205128205128,5.997474464086386,0.010443861847422235,0.005748412505363765,1.06795879473909
B,gru,INDPRO,1,2340,39,24.0,60.0,14.076923076923077,5.934793779387688,0.010522909038428837,0.0058485178424425065,1.0811077719578601
B,rnn,INDPRO,3,2340,39,24.0,60.0,15.153846153846153,9.118625230012604,0.021053596211013055,0.012887862314952751,2.4078349804883117
B,gru,INDPRO,3,2340,39,24.0,60.0,16.076923076923077,9.202948467614942,0.021525271824553622,0.013406787336953907,2.4532684699513587
B,gru,INDPRO,6,2340,39,24.0,60.0,16.17948717948718,3.1813451384122553,0.0330792253644369,0.023050662294326587,3.9133847261815218
B,rnn,INDPRO,6,2340,39,24.0,60.0,15.58974358974359,3.0330893143486137,0.033177438354338645,0.023526326100093968,4.016241495960114
B,gru,INDPRO,12,2339,39,24.0,59.97435897435897,17.025641025641026,3.4169287729339723,0.054001278351324906,0.039088442192376165,5.771830784350896
B,rnn,INDPRO,12,2339,39,24.0,59.97435897435897,17.76923076923077,3.3335074226443586,0.05633645564113566,0.04074702136136602,5.9752867997967725
B,rnn,PAYEMS,1,2340,39,24.0,60.0,16.102564102564102,310.98680860511,0.007368292595443971,0.0020242431051012985,2.3882421413894686
B,gru,PAYEMS,1,2340,39,24.0,60.0,18.615384615384617,312.498643712069,0.0073843449672350995,0.0020756700712700276,2.4152889176489576
B,rnn,PAYEMS,3,2340,39,24.0,60.0,15.461538461538462,1218.5930181126564,0.012844762699365563,0.00550167356580063,6.320277372870796
B,gru,PAYEMS,3,2340,39,24.0,60.0,17.384615384615383,1219.0086412862515,0.01286657445226428,0.005521197691910841,6.332766444124528
B,gru,PAYEMS,6,2340,39,24.0,60.0,21.512820512820515,4.835643197290408,0.018457927203811904,0.010718391477276339,9.803875405151164
B,rnn,PAYEMS,6,2340,39,24.0,60.0,21.41025641025641,4.352424135694328,0.019183438940022415,0.010979330203727475,9.833722520158583
B,gru,PAYEMS,12,2339,39,24.0,59.97435897435897,24.692307692307693,3.579338222216719,0.02985274563405922,0.020596240961064095,15.198590287677598
B,rnn,PAYEMS,12,2339,39,24.0,59.97435897435897,18.23076923076923,3.4135174681551947,0.029914555904423476,0.020407811649907785,15.1429951821215
B,rnn,S&P 500,1,2340,39,24.0,60.0,10.923076923076923,1.4879075756821878,0.038689152638496684,0.027981170230886452,0.9489886084256824
B,gru,S&P 500,1,2340,39,24.0,60.0,13.384615384615385,1.5259938559088952,0.0395636080086495,0.028407352297378962,0.9633060151790411
B,gru,S&P 500,3,2340,39,24.0,60.0,10.871794871794872,1.637723764930016,0.08101230726629875,0.059437769074871055,1.8267445525316517
B,rnn,S&P 500,3,2340,39,24.0,60.0,10.0,1.7115148118195624,0.08173996489227878,0.06065019557114967,1.837380251140355
B,gru,S&P 500,6,2340,39,24.0,60.0,14.692307692307692,2.080173994581669,0.13238868473984763,0.10008862441279787,2.993925371793555
B,rnn,S&P 500,6,2340,39,24.0,60.0,14.948717948717949,1.963039490274894,0.13394066064384727,0.09924790205925993,2.9438224668726356
B,rnn,S&P 500,12,2339,39,24.0,59.97435897435897,18.205128205128204,4.724364689049812,0.1994212460389566,0.15206914972562005,4.352433585985393
B,gru,S&P 500,12,2339,39,24.0,59.97435897435897,18.05128205128205,4.797612441942478,0.2007949689762816,0.15127774986250428,4.249883803361028
