track,model,target,horizon,n_predictions,n_folds_used,avg_train_sequences,avg_test_sequences,mean_best_epoch,mean_val_loss,rmse,mae,mase
D-mini,gru,INDPRO,1,300,5,24.0,60.0,5.0,2.453449958562851,0.0069046801407830535,0.005443134260955654,0.912718355688955
D-mini,rnn,INDPRO,1,300,5,24.0,60.0,3.0,2.688624954223633,0.007616074258862425,0.005849063102020106,0.9399945614838047
